#GRM155R71C223KA01,,
#2023/01/18,,
#z,,
#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],
2.1837014831202695E8,0.4424454410351601,
2.2836978718955886E8,0.46162828173615517,
2.3882733104381898E8,0.48183390824598893,
2.4976374832879743E8,0.5031395573944568,
2.6120096768910077E8,0.5256014671309067,
2.731619219291499E8,0.5492579005962713,
2.8567059399581397E8,0.5741336261987062,
2.987520650666968E8,0.6002448156139109,
3.124325648404804E8,0.6276036082252076,
3.267395241301802E8,0.6562219254381613,
3.4170162986475027E8,0.6861143969799726,
3.573488826093389E8,0.7173004443002744,
3.737126567195109E8,0.749805658870322,
3.908257632500721E8,0.7836626405599232,
4.0872251574461204E8,0.8189114505265317,
4.2743879903770435E8,0.8555998053059204,
4.4701214120769453E8,0.8937831074074074,
4.6748178882437414E8,0.9335243796255426,
4.888887856423943E8,0.9748941481392219,
5.1127605489823437E8,1.0179703035210548,
5.3468848537570965E8,1.0628379581439196,
5.591730214126214E8,1.10958931191021,
5.847787570289874E8,1.158323534537009,
6.115570343656238E8,1.2091466708016039,
6.395615466304238E8,1.2621715744214994,
6.688484457587857E8,1.317517876074778,
6.99476455004031E8,1.3753119911127185,
7.315069866835799E8,1.4356871725788038,
7.650042653169916E8,1.4987836151360334,
8.000354564027369E8,1.564748615402758,
8.366708010919645E8,1.6337367940386396,
8.749837570292381E8,1.705910384764765,
9.150511456427056E8,1.781439595415381,
9.569533061789703E8,1.8605030461718206,
1.0007742567915817E9,1.943288290386545,
1.0466018630060828E9,2.0299924239212928,
1.0945280138994675E9,2.1208227897464624,
1.1446488063472402E9,2.215997785719774,
1.1970647377075796E9,2.315747785021555,
1.25188090732889E9,2.42031618071281,
1.3092072272848508E9,2.529960568351074,
1.3691586427594435E9,2.644954083609451,
1.4318553625239196E9,2.7655869154780275,
1.497423099967763E9,2.8921680199890782,
1.565993325167025E9,3.025027064636825,
1.6377035284953642E9,3.1645166399363305,
1.712697496306447E9,3.311014782114866,
1.7911255992403932E9,3.464927860045218,
1.8731450937324457E9,3.626693890590694,
1.9589204373283114E9,3.7967863600144973,
2.0486236184385302E9,3.9757186456278464,
2.142434501192965E9,4.164049152198976,
2.2405411860869184E9,4.362387302837155,
2.343140387142058E9,4.571400555415997,
2.450437826338281E9,4.7918226548161655,
